Food,FDC Codes,Energy (kcal),Protein (g),"Fiber, total dietary (g)","Folate, DFE (μg)","Calcium, Ca (mg)","Carbohydrate, by difference (g)","Iron, Fe (mg)","Magnesium, Mg (mg)",Niacin (mg),"Phosphorus, P (mg)","Potassium, K (mg)",Riboflavin (mg),Thiamin (mg),"Vitamin A, RAE (μg)",Vitamin B-12 (μg),Vitamin B-6 (mg),"Vitamin C, total ascorbic acid (mg)",Vitamin E (alpha-tocopherol) (mg),Vitamin K (phylloquinone) (μg),"Zinc, Zn (mg)",,
Field Pea,788400,150,8.19,6.2,136,22,22.92,2.05,48,0.702,118,362,0.062,0.251,4,0,0.092,2.5,0.59,38.5,1.37,,
Banana,786652,89,1.09,2.6,20,5,22.84,0.26,27,0.665,22,358,0.073,0.031,3,0,0.367,8.7,0.1,0.5,0.15,,
Barley,170284,352,9.91,15.6,23,29,77.72,2.5,79,4.604,221,280,0.114,0.191,1,0,0.26,0,0.02,2.2,2.13,,
Beef,170199,198,14.68,0,5,7,0.14,1.69,14,3.66,117,297,0.157,0.043,0,1.78,0.29,27,0,0,2.85,,
Beer,789593,43,0.46,0,6,4,3.55,0.02,6,0.513,14,27,0.025,0.005,0,0.02,0.046,0,0,0,0.01,,
Boye/Yam,170071,118,1.52,4.1,23,17,27.88,0.54,21,0.552,55,816,0.032,0.112,7,0,0.293,17.1,0.35,2.3,0.24,,
Bula,557807,92,2.65,0.9,0,0,39.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Butter/Ghee,789022,876,0.28,0,0,4,0,0,0,0.003,3,5,0.005,0.001,840,0.01,0.001,0,2.8,8.6,0.01,,
Cassava,169985,160,1.36,1.8,27,16,38.06,0.27,21,0.854,27,271,0.048,0.087,1,0,0.088,20.6,0.19,1.9,0.34,,
Chat / Kat (tree/plant),168553,40,0.29,3.7,15,8,10.78,0.16,0.539,3.5,4,5,0.3,0,10,0,0.179,30,0,0,0.31,,
Cheese,781721,330,16.86,0,7,682,8.56,0.26,27,0.155,438,255,0.36,0.035,220,1.33,0.102,0,0.63,3,2.31,,
Chick Pea,173756,378,20.47,12.2,557,57,62.95,4.31,79,1.541,252,718,0.212,0.477,3,0,0.535,4,0.82,9,2.76,,
Coffee ,522462,520,8,6,0,160,62,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Eggs,578012,136,13.64,0,0,45,0,1.64,0,0,182,136,0.386,0,0,0.82,0.182,0,0,0,1.36,,
Field Pea,787806,81,5.42,5.7,65,25,14.45,1.47,33,2.09,108,244,0.132,0.266,38,0,0.169,40,0,24.8,1.24,,
Fish (tilapia),175176,96,20.08,0,24,10,0,0.56,27,3.903,170,302,0.063,0.041,0,1.58,0.162,0,0.4,1.4,0.33,,
Goat & Mutton Meat,175303,109,20.6,0,5,13,0,2.83,0.038,3.75,180,385,0.49,0.11,0,1.13,0,0,0,0,4,,
Godere (tuber),175303,148,11.6,0,19,30,28.1,2,24,1.64,45,586,0.149,0.379,0,0,0.075,0,0,0,1.39,,
Green Chili Pepper (Kariya),170497,40,2,1.5,23,18,9.46,1.2,25,0.95,46,340,0.09,"0,09 ",59,0,0.278,242.5,0.69,14.3,0.3,,
"Greens ( kale, cabbage, etc)",787780,25,1.28,2.5,43,40,5.8,0.47,12,0.234,26,170,0.04,0.061,5,0,0.124,36.6,0.15,76,0.18,,
Ground Nuts,170162,553,18.22,3.3,25,37,30.19,6.68,292,1.062,593,660,0.058,0.423,0,0,0.417,0.5,0,34.1,5.78,,
Haricot Beans,173745,337,22.33,15.3,364,147,60.75,5.49,175,2.188,406,1185,0.164,0.775,0,0,0.428,0,0.02,2.5,3.65,,
Horsebeans,168574,88,7.92,7.5,148,37,17.63,1.55,33,2.249,129,332,0.29,0.133,17,0,0.104,3.7,1.16,40.9,1,,
