ID,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
502288215.31675786,0,1,1,1,0,1,0,0,0,1,0,0,1,1
501291117.12258065,0,0,0,0,0,0,0,0,0,0,0,0,0,1
502288215.3242168,0,0,2,0,0,1,0,0,1,1,0,0,1,0
501291117.1300248,0,1,0,2,0,1,0,1,1,2,0,0,1,0
502288215.33267033,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501789170.9061103,0,0,0,0,0,0,0,0,0,0,0,0,0,1
502288215.3401293,0,0,0,0,0,0,0,0,0,2,0,1,0,1
501789170.9135618,0,0,0,0,0,0,0,0,0,1,1,1,0,0
501291117.14590573,0,0,0,0,0,0,0,0,0,1,1,1,0,0
502288215.34758824,0,0,0,0,0,0,1,0,0,1,1,0,1,0
501789170.9210134,0,0,0,0,0,0,1,0,0,1,0,1,0,1
502288215.3555445,0,1,0,0,0,0,0,0,2,0,0,1,0,0
501789170.92896175,0,1,1,0,0,0,0,0,1,0,0,1,0,0
502288215.35902536,0,0,0,0,0,1,0,0,1,0,1,1,0,0
502288215.36598706,0,1,0,0,1,0,0,0,0,0,0,1,0,0
501789170.93939394,1,1,0,0,0,1,0,0,0,1,0,1,0,0
501291117.17171216,0,1,1,0,0,1,0,0,0,1,0,1,0,0
502288215.37344605,0,1,2,0,0,1,0,0,0,0,0,0,0,0
501789170.94684553,0,2,1,1,0,0,1,0,0,0,0,0,1,0
502288215.38090503,0,0,0,0,0,1,0,0,0,0,0,0,0,0
501789170.95429707,0,0,1,1,1,1,0,0,0,1,1,1,1,0
502288215.388364,0,0,0,0,0,0,0,0,0,0,0,0,1,1
502288215.3963202,0,0,0,0,0,0,0,0,1,0,0,1,0,0
502337843.3620089,0,1,1,2,1,1,0,0,1,1,0,0,1,0
501838749.62791854,0,1,1,1,2,0,1,1,0,1,1,0,1,0
502337843.3669816,0,0,1,1,0,0,0,0,1,0,1,0,0,1
501838749.63288623,0,1,1,2,0,0,0,0,0,1,1,0,0,1
502337843.3694679,0,0,0,0,0,0,0,0,1,1,0,1,1,0
501838749.6353701,1,1,0,0,0,1,0,1,0,1,1,0,1,0
502337843.37444055,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501838749.6403378,0,0,0,0,0,0,0,0,0,1,0,0,0,1
502337843.3769269,0,1,1,1,0,1,0,0,1,1,0,0,1,0
501838749.64282167,0,0,1,2,0,1,0,1,1,1,0,0,1,0
502337843.37941325,0,0,1,1,0,1,0,0,1,0,1,0,1,0
501838749.6453055,1,0,0,2,0,1,0,0,1,1,0,0,1,0
502337843.3843859,0,1,1,3,2,0,1,0,0,1,0,0,1,0
501838749.6502732,0,0,1,2,4,0,1,0,0,1,0,0,1,0
502337843.39184487,0,0,0,2,2,0,1,0,0,1,0,0,0,1
501838749.6577248,0,0,0,0,4,0,1,0,0,0,1,0,0,1
502337843.4067628,0,2,1,0,0,1,0,0,0,0,0,1,0,0
501838749.6726279,1,3,2,0,0,1,0,0,0,0,0,0,1,0
502337843.41422176,0,0,0,0,1,0,0,0,1,0,0,1,0,0
501838749.68007946,2,0,0,0,0,1,0,0,1,0,0,1,0,0
502337843.42168075,0,0,0,1,2,0,1,0,1,0,0,1,0,1
501838749.68753105,0,1,0,1,2,0,1,0,0,1,0,0,1,1
502337843.42913973,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501838749.6949826,0,0,0,0,0,0,0,0,1,0,0,0,0,1
502386924.91496766,0,0,0,0,1,0,0,0,0,1,0,1,0,0
501887782.4162941,0,0,0,0,0,1,0,1,0,1,0,1,0,0
501887782.42225534,0,0,0,0,0,1,0,0,1,1,0,1,0,0
502386924.92690206,0,0,0,0,0,0,0,0,0,0,0,1,0,0
502386924.9328692,0,0,0,0,1,0,0,0,0,0,0,1,0,0
502386924.9388364,0,0,0,0,1,1,0,0,0,0,0,1,0,1
501887782.4401391,0,0,0,0,1,1,0,0,0,0,0,1,0,1
501887782.44610035,0,1,2,0,0,0,0,0,0,0,1,0,1,0
502386924.95077074,0,1,0,0,0,0,1,0,0,0,0,0,1,0
501887782.4520616,0,0,1,1,0,0,0,0,1,0,0,0,1,0
502386924.95673794,0,0,0,1,0,0,0,0,0,2,0,0,1,0
501887782.45802283,0,0,0,1,0,0,0,0,0,2,0,0,1,0
501887782.46398413,0,0,2,0,1,0,0,1,0,0,0,1,0,0
